"Boys Names in Ireland with 3 or More Occurrences (Number) by Name and"
"Year"

"Oliver",69,68,65,73,62,74,62,61,64,57,78,537,255,102,84,68,70,61,50,49,54,38,47,48,27,35,18,15,30,23,31,27,22,61,99,98,141,172,167,155,199,199
"Rhys",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6,9,6,8,15,7,15,58,99,131,107,126,120,124,98,80
"Dean",..,..,4,3,10,24,18,20,12,18,20,16,25,22,22,25,23,39,26,44,72,91,118,146,184,224,253,290,310,296,274,260,290,106,94,130,98,69,54,62,40,42
"Dara",10,16,5,26,33,23,32,32,37,38,29,38,34,26,19,29,21,19,22,28,17,25,21,18,25,29,26,22,14,30,29,43,38,86,93,99,106,109,111,94,106,99
"Oscar",..,..,..,..,..,3,..,..,..,..,3,5,..,..,..,..,..,..,4,..,..,..,..,..,..,..,..,4,5,6,8,10,7,68,89,132,132,135,135,150,184,179
"Colm",144,133,199,191,178,191,256,217,256,222,228,224,233,219,268,227,253,275,260,265,280,232,261,234,200,199,176,179,149,146,127,149,151,97,85,67,76,47,54,51,59,48
"Diarmuid",25,39,46,42,49,31,41,68,69,49,57,52,62,72,58,51,69,61,75,74,63,59,69,68,46,56,46,52,70,58,55,63,49,69,85,80,43,67,49,47,40,37
"Edward",425,423,423,397,374,377,362,339,349,317,347,287,302,270,281,254,272,260,252,248,212,201,191,172,130,149,128,107,114,104,103,86,95,53,85,85,75,73,85,84,77,71
"Jayden",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10,83,167,182,193,177,197,191,153
"Christian",..,..,..,..,7,3,7,6,19,20,29,21,20,20,21,19,23,13,10,16,6,7,..,5,4,10,10,9,17,22,23,27,27,62,81,90,78,63,61,43,32,43
"Louis",13,13,20,13,16,15,13,11,13,12,10,12,..,4,9,8,17,14,10,9,5,8,9,6,7,11,6,17,15,10,9,16,25,48,81,69,72,59,53,57,55,65
"Oran",..,..,..,..,..,5,..,3,3,5,8,5,4,7,4,..,3,3,5,..,4,4,3,5,7,5,5,3,7,5,11,12,15,64,81,93,87,99,96,97,73,76
"Padraig",38,52,72,66,66,61,103,81,85,90,116,114,106,123,142,150,157,193,137,179,153,135,157,156,134,118,136,159,120,108,117,87,99,83,81,65,75,70,72,59,54,55
"Charles",145,145,118,104,83,96,114,94,79,84,74,78,73,75,73,64,87,67,66,53,52,47,49,52,46,46,38,34,40,22,34,44,23,79,79,68,77,67,73,59,66,56
"Leo",28,35,38,41,31,34,33,51,37,33,25,23,26,20,28,17,21,24,22,19,15,26,14,12,11,16,17,15,16,15,12,18,12,73,78,81,68,78,97,96,131,142
"Lucas",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3,..,..,..,..,..,3,..,..,..,..,..,..,3,4,6,4,9,49,78,73,103,99,96,109,130,110
"Ross",6,7,6,..,5,7,4,17,16,9,12,15,78,75,82,94,130,137,132,136,95,98,114,121,109,108,95,121,151,102,116,178,211,83,76,116,97,69,68,61,69,63
"Cameron",..,..,..,..,..,3,..,..,3,..,3,..,3,..,..,..,..,..,..,..,..,..,..,..,..,3,7,5,3,9,13,11,21,70,75,73,75,75,63,69,63,50
"Jacob",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3,3,..,..,..,..,..,3,3,4,7,6,13,15,12,14,16,49,75,71,69,100,131,140,158,170
"Kieran",224,252,243,275,196,260,270,273,241,283,277,236,241,266,241,268,263,260,245,230,224,221,214,235,191,178,184,158,137,134,126,108,127,57,75,69,44,52,46,25,42,30
"Brandon",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11,23,43,58,106,84,74,76,59,63,40,47,49,43
"Ruairi",..,..,3,3,3,10,3,12,5,9,16,27,30,46,45,40,34,46,45,43,25,25,32,39,27,37,29,34,28,29,38,42,32,78,74,93,93,91,86,99,81,84
"Reece",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7,6,10,9,20,19,24,60,73,68,47,63,54,53,46,35
"Tomas",7,6,8,9,4,10,18,19,15,17,27,20,18,28,24,24,44,49,48,50,54,46,55,42,54,78,48,43,53,55,42,41,37,68,73,88,99,92,81,86,93,86
"Isaac",3,..,..,..,3,..,..,3,..,..,..,..,3,..,..,..,..,..,..,..,..,..,..,..,..,5,..,8,..,6,5,12,14,35,72,59,62,66,77,95,80,101
"Kian",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3,..,..,3,3,..,4,4,5,3,3,..,5,6,3,3,77,72,88,79,60,77,63,42,72
"Senan",6,4,4,5,4,7,7,6,5,7,10,..,7,6,4,5,6,6,4,6,9,9,8,6,6,4,3,4,8,5,11,10,17,65,72,97,96,103,121,126,147,140
"Odhran",..,..,..,..,..,..,..,5,..,5,..,..,5,3,..,6,7,5,..,4,4,5,3,4,..,3,6,8,4,11,13,18,17,56,69,88,98,100,89,98,111,124
"Jakub",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,39,68,138,160,136,139,106,99,94
"Jonathan",17,14,34,24,39,52,82,107,126,158,193,188,235,222,277,290,401,476,475,395,366,328,308,303,278,237,236,204,206,180,184,154,118,56,67,61,65,63,51,52,47,46
"Zach",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4,3,..,3,3,43,67,62,63,69,82,93,68,65
"Bobby",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3,..,..,4,..,6,6,5,..,3,3,..,6,5,4,4,7,44,66,72,96,127,133,141,146,152
"Daragh",7,7,10,9,27,29,43,56,51,57,39,43,35,24,37,42,33,45,29,47,23,35,39,33,41,54,35,30,49,53,50,55,54,48,66,58,77,44,45,52,38,26
"Kacper",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17,66,86,79,69,73,79,67,63
"Hugh",112,118,95,104,81,87,93,92,98,96,88,68,76,70,73,88,85,82,64,66,66,64,65,62,58,52,64,59,54,54,61,55,51,56,65,76,82,60,79,63,73,71
"Colin",37,48,74,79,96,106,102,204,187,203,193,203,186,224,223,245,260,190,198,220,269,249,232,196,141,147,141,130,124,130,135,93,114,71,64,73,61,51,41,40,30,26
"Craig",4,3,3,4,6,7,6,17,17,16,16,9,13,19,11,19,20,28,44,47,66,63,64,70,137,208,205,186,159,177,162,170,178,77,64,59,33,39,23,27,24,16
"Lorcan",11,17,13,14,15,21,25,17,14,18,24,15,24,13,21,20,32,31,23,22,35,31,30,23,47,41,36,45,51,34,38,38,39,57,64,85,82,75,70,68,61,76
"Richard",301,354,298,314,293,297,335,328,289,344,333,345,352,348,342,385,365,360,372,348,314,329,386,303,298,282,237,189,190,160,123,128,112,45,62,60,50,61,51,56,38,44
"Owen",59,65,69,64,67,92,78,77,89,109,92,84,111,104,128,107,102,102,117,91,106,103,90,94,81,87,78,58,65,63,60,65,51,68,59,74,63,61,52,40,39,23
"Connor",..,8,8,9,9,8,10,14,17,13,23,11,13,10,18,18,15,21,22,10,18,15,14,16,11,19,22,20,26,36,30,40,46,65,57,56,62,56,51,43,31,29
"Donnacha",..,5,5,3,4,6,6,4,5,14,4,13,7,6,6,10,10,12,10,14,5,10,13,8,5,8,6,7,8,6,9,11,12,52,57,76,66,72,100,106,91,92
"Micheal",..,4,7,9,..,..,6,7,16,22,19,21,28,32,45,31,25,63,68,59,59,58,61,49,58,51,52,52,50,44,45,53,64,53,55,71,59,45,62,60,48,43
"Billy",..,..,..,..,..,..,3,..,..,..,..,..,..,4,..,..,..,5,6,5,3,3,..,3,..,4,6,3,8,9,7,15,17,59,54,78,67,61,77,76,66,81
"Tristan",..,..,..,..,..,..,..,3,3,..,..,..,..,4,11,23,18,5,10,5,5,7,3,7,..,5,6,..,..,4,6,16,18,62,54,74,64,63,54,50,45,46
"Darren",..,..,6,10,10,63,204,265,276,292,309,267,271,294,285,283,372,307,334,362,351,342,357,397,350,374,383,316,316,280,275,267,254,71,53,53,54,59,47,41,48,38
"Corey",..,..,..,..,..,4,..,..,4,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6,5,9,20,27,26,32,36,38,54,52,63,47,57,45,52,44,46
"Daire",6,5,..,4,..,4,6,7,5,9,7,15,14,20,13,17,16,31,21,11,20,16,25,18,22,27,25,39,29,35,32,61,67,63,52,73,70,73,66,72,56,64
"Denis",347,350,303,303,301,261,277,284,269,236,238,210,197,183,173,187,182,174,165,159,152,135,135,104,81,102,95,67,62,60,68,45,57,48,52,57,39,36,41,34,40,44
"Luca",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4,..,..,3,51,52,61,41,49,48,61,67,78
"Patryk",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20,52,78,77,76,58,52,32,30
"Tyler",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3,7,3,5,4,7,28,52,48,57,99,127,195,116,103
"Philip",187,202,222,222,248,212,206,272,237,247,242,259,252,266,314,289,336,291,289,272,250,244,247,244,219,202,189,169,153,143,146,110,110,58,51,59,48,47,35,51,43,45
"Daithi",..,..,..,..,..,..,..,..,..,3,3,..,4,3,..,..,..,..,4,..,..,..,..,3,..,..,..,..,5,..,..,4,4,24,49,52,60,79,78,61,69,74
"Tiernan",3,4,3,..,..,..,..,6,5,6,..,4,4,5,4,7,3,4,3,6,6,..,9,..,5,4,13,7,9,6,13,10,19,44,49,58,52,59,57,66,57,41
"Sebastian",..,..,..,..,..,..,5,3,4,..,..,..,..,..,..,3,..,..,3,..,..,..,4,..,..,..,6,5,7,..,4,..,3,21,48,53,53,81,88,66,73,91
"Simon",36,60,67,77,53,59,82,80,113,108,88,147,147,135,133,153,163,144,141,152,151,146,174,186,120,133,117,117,94,59,64,59,67,49,48,40,33,37,50,36,36,32
"Danny",..,..,..,..,..,..,3,..,..,5,..,..,..,4,..,4,3,..,4,4,4,4,8,5,7,5,16,15,5,11,11,10,12,45,47,50,46,63,65,88,77,100
"Filip",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19,47,82,95,113,96,104,69,67
"Gerard",815,837,749,684,607,555,637,524,503,486,421,456,422,443,415,397,429,408,408,386,341,345,343,299,232,213,191,156,127,127,123,100,94,40,47,44,26,27,31,39,31,40
"Karl",40,45,48,44,65,74,101,104,120,131,112,97,97,91,133,175,192,132,118,109,114,115,119,117,164,137,139,122,136,96,111,104,109,55,47,36,31,25,19,22,15,14
"Shay",..,..,..,..,..,..,..,..,4,..,..,3,..,4,..,..,3,..,..,..,3,3,..,3,..,3,..,..,..,4,..,5,12,39,47,63,78,99,72,69,104,97
"Eric",34,36,41,40,43,41,58,55,69,84,70,65,86,66,68,80,73,66,73,76,63,62,83,66,53,72,67,60,76,81,105,114,95,43,46,41,51,58,49,61,48,47
"George",115,107,112,91,96,88,85,98,89,89,84,66,75,62,64,64,68,56,48,59,48,35,50,40,45,21,24,29,29,28,19,28,35,47,46,58,56,55,59,61,61,72
"Calvin",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3,5,4,4,..,5,5,3,9,15,17,16,34,40,35,45,38,39,57,40,29,37,42
"Keelan",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3,4,..,3,6,3,6,..,4,4,6,11,8,9,17,15,30,44,45,43,34,43,36,52,39,35
"Nicholas",92,75,89,67,89,78,78,84,95,88,84,88,81,99,75,95,84,89,75,88,83,83,62,63,85,81,63,38,55,51,34,36,46,39,44,49,31,45,47,47,47,47
"Seamus",87,105,112,110,101,114,112,146,146,153,134,146,138,157,144,148,128,143,152,110,101,106,105,87,87,100,82,71,62,55,58,63,47,37,44,45,46,37,44,45,36,47
"Brendan",426,436,434,405,409,390,392,368,345,374,343,381,432,384,393,389,372,343,365,322,315,260,256,291,198,167,149,158,144,134,118,125,100,55,43,45,36,46,42,46,30,27
"Dawid",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11,43,49,60,56,60,32,35,28
"Shaun",..,..,6,11,8,12,14,10,16,19,21,22,16,32,34,37,45,32,33,54,45,62,57,67,64,64,70,61,76,51,62,64,50,29,42,30,24,14,22,14,13,16
"Steven",3,7,7,12,10,11,17,21,24,33,43,69,63,66,53,74,64,100,113,128,133,124,126,102,107,141,111,116,102,91,84,89,87,38,42,41,40,25,21,14,15,19
"Gearoid",9,11,11,10,14,15,13,19,26,26,17,20,32,29,22,30,33,28,41,35,42,43,37,46,32,32,41,44,51,39,35,43,39,39,41,30,34,39,34,43,40,26
"Joe",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3,..,..,..,5,5,..,5,6,7,6,11,45,41,61,51,58,48,37,44,47
"Tommy",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3,..,..,5,4,3,3,4,4,3,..,6,5,6,6,14,11,35,41,38,37,43,89,101,101,121
